Number,Gender,Title,First Name,Initial,Last Name,Address 1,Address 2,City,PROV,Postal Code,Email Address,Telephone Number,DOB,SIN,Expiry, Balance 
202344,female,Ms.,Linda,C,Young,3410 99th St,,Grande Prairie,AB,T8V 0S1,lindacyoung@gmail.com,780-897-0867,2/26/1997,654647783,27-Dec,"$3,252 "
202346,female,Mrs.,Elizabeth,J,Marino,1413 Hastings Street,,Vancouver,BC,V6C 1B4,elizabethjmarino@gmail.com,604-618-6269,10/26/1975,737536458,25-Jun,"$15,660 "
202348,male,Mr.,Brian,E,Gutierrez,3412 St Jean Baptiste St,,Sayabec,QC,G0J 3K0,brianegutierrez@gmail.com,418-536-3418,1/12/1990,241148055,23-Sep,"$771,160 "
202357,male,Mr.,Robert,M,Armstrong,2112 Galts Ave,,Red Deer,AB,T4N 2A6,robertmarmstrong@gmail.com,403-309-0426,12/17/1969,654818152,27-Nov,"$748,020 "
202359,female,Ms.,Annette,J,Lee,4801 99th St,,Grande Prairie,AB,T8V 0S1,annettejlee@gmail.com,780-933-0856,11/14/1954,655040673,23-Mar,"$97,080 "
202361,male,Mr.,Jerry,M,Hudson,4582 Ross Street,,Perth,ON,K7H 2S6,jerrymhudson@outlook.com,613-267-5324,3/12/1976,511609570,26-Jun,"$257,400 "
202365,female,Mrs.,Nora,H,Chaplin,2308 5th Avenue,,Brownvale,AB,T0H 0L0,norahchaplin@gmail.com,780-597-6974,11/11/1983,655800373,23-Oct,"$3,165 "
202367,female,Mrs.,Kristina,J,Gandhi,2795 Hastings Street,,Vancouver,BC,V6C 1B4,kristinajgandhi@gmail.com,778-882-3864,4/24/1943,738178458,27-Aug,"$5,440 "
202372,male,Mr.,Pedro,P,Benham,3809 Bloor Street,,Ardrossan,AB,T0B 0E0,pedropbenham@gmail.com,780-922-0704,4/16/1941,656120144,26-Apr,"$3,252 "
202376,female,Mrs.,Doloris,L,Metz,359 Barton Street,Unit 1,Winona,ON,L8E 5G9,dolorislmetz@gmail.com,905-643-7593,10/10/1947,511697443,24-Jun,"$79,440 "
202378,male,Mr.,Marquis,J,Witter,384 Lockhart Drive,,Barrie,ON,L4M 3B1,marquisjwitter@protonmail.ch,705-792-6988,1/4/1996,511727398,23-Dec,"$53,500 "
202379,male,Mr.,Eldon,M,Reed,3620 90th Avenue,,Hussar,AB,T0J 1S0,eldonmreed@gmail.com,403-787-5699,6/3/1940,656518669,26-Apr,"$748,020 "
202380,male,Mr.,Chong,S,Whittemore,3204 Islington Ave,,Toronto,ON,M9V 2X5,chongswhittemore@outlook.com,416-742-9972,7/26/1936,512015553,27-Jan,"$327,480 "
202381,female,Ms.,Winnie,G,Burroughs,3590 Baker Street,,London,ON,N0N 0N0,winniegburroughs@live.ca,519-931-0393,12/17/1963,512608555,26-Mar,"$69,160 "
202386,female,Mrs.,Minnie,F,Arias,4937 James Street,Apt 201,Burnaby,BC,V5G 1J9,minniefarias@gmail.com,604-240-6498,5/2/1961,738441021,23-Aug,"$504,400 "
202390,female,Ms.,Barbara,J,Baxter,2618 Acton Avenue,,Toronto,ON,M3H 4J1,barbarajbaxter@icloud.com,416-376-3909,2/23/1953,512702713,24-Jan,"$64,750 "
202393,male,Mr.,Ronnie,E,Paylor,2837 Bank St,,Ottawa,ON,K1H 7Z1,ronnieepaylor@gmail.com,613-282-2572,4/20/1983,512766486,25-Dec,"$275,250 "
202396,female,Mrs.,Janice,W,Collier,4522 49th Avenue,,Rae Lakes,NT,X0E 1R0,janicewcollier@gmail.com,867-997-0161,10/17/1978,656619574,24-Aug,"$273,120 "
202397,female,Ms.,Constance,R,Dickinson,1330 Fallon Drive,,Clinton,ON,N0M 1L0,constancerdickinson@outlook.com,519-233-6160,8/20/2000,513241059,26-Aug,"$771,160 "
202402,male,Mr.,Kevin,A,Jordon,3801 5th Avenue,,Spirit River,AB,T0H 3G0,kevinajordon@gmail.com,780-864-3588,10/16/1960,657269635,24-Sep,"$12,360 "
202405,female,Ms.,Rebecca,S,Gilmore,2417 Royal Avenue,,New Westminster,BC,V3L 5H1,rebeccasgilmore@gmail.com,778-896-1704,8/7/1999,738838374,23-Jan,"$9,410 "
202409,female,Ms.,Susie,J,White,3206 Brand Road,,Saskatoon,SK,S7K 1W8,susiejwhite@yahoo.com,306-270-5963,4/29/1978,657482014,24-Oct,"$479,000 "
202413,male,Mr.,Larry,T,Johnson,4637 Toy Avenue,,Oshawa,ON,L1G 6Z8,larrytjohnson@shaw.ca,905-242-7484,12/31/1954,513366310,27-Mar,"$509,220 "
202418,female,Ms.,Jennifer,L,Wilson,1723 Galts Ave,,Red Deer,AB,T4N 2A6,jenniferlwilson@hotmail.com,403-357-5531,4/26/1940,657505913,26-Nov,"$25,800 "
202420,female,Mrs.,Frances,B,Stuart,4615 9th Ave,,Lethbridge,AB,T1J 2J7,francesbstuart@gmail.com,403-329-9939,4/6/1964,657688016,27-Jun,"$172,250 "
202422,female,Ms.,Patricia,C,Hernandez,2303 49th Avenue,,Iqaluit,NU,X0A 0H0,patriciachernandez@yahoo.com,867-979-8382,12/9/1943,657850541,24-Aug,"$5,841 "
202426,female,Mrs.,Elvia,M,Nickle,2716 Robson St,,Vancouver,BC,V6B 3K9,elviamnickle@gmail.com,604-681-3913,11/20/1982,738858869,27-Dec,"$2,724 "
202428,male,Mr.,Antonio,B,Meyer,3210 Roger Street,,Port Alberni,BC,V9Y 4M8,antoniobmeyer@hotmail.com,250-720-8048,5/17/1984,738994821,23-Dec,"$9,790 "
202430,female,Ms.,Christine,J,Blevins,2922 rue Parc,,Sherbrooke,QC,J1L 1C9,christinejblevins@gmail.com,819-674-6207,5/11/1980,241308436,27-Aug,"$5,703 "
202432,male,Mr.,Michael,O,Schwartz,2786 Lockhart Drive,,Barrie,ON,L4M 3B1,michaeloschwartz@hotmail.com,705-720-3740,8/30/1973,513401075,27-Jul,"$2,720 "
